description,name,room_type,price,income,rank,geometry
,10745,Private room,121,35332,1,"<Point><coordinates>-71.106521,42.362988,0.0</coordinates></Point>"
,798957,Entire home/apt,371,28938,2,"<Point><coordinates>-71.075711,42.341213,0.0</coordinates></Point>"
,29765,Entire home/apt,337,28308,3,"<Point><coordinates>-71.066627,42.378338,0.0</coordinates></Point>"
,366038,Entire home/apt,228,26448,4,"<Point><coordinates>-71.059094,42.359463,0.0</coordinates></Point>"
,269344,Private room,131,25938,5,"<Point><coordinates>-71.106348,42.36415,0.0</coordinates></Point>"
,842786,Entire home/apt,284,25844,6,"<Point><coordinates>-71.077628,42.337222,0.0</coordinates></Point>"
,93505,Entire home/apt,213,25773,7,"<Point><coordinates>-71.063764,42.377579,0.0</coordinates></Point>"
,79762,Entire home/apt,200,24600,8,"<Point><coordinates>-71.100294,42.370572,0.0</coordinates></Point>"
,46534,Private room,74,24272,9,"<Point><coordinates>-71.093755,42.382153,0.0</coordinates></Point>"
,245099,Entire home/apt,257,23901,10,"<Point><coordinates>-71.055524,42.348755,0.0</coordinates></Point>"
,749718,Entire home/apt,485,23765,11,"<Point><coordinates>-71.113728,42.363351,0.0</coordinates></Point>"
,197972,Entire home/apt,160,23360,12,"<Point><coordinates>-71.108338,42.317321,0.0</coordinates></Point>"
,37864,Entire home/apt,314,22922,13,"<Point><coordinates>-71.083071,42.35086,0.0</coordinates></Point>"
,815639,Entire home/apt,188,22560,14,"<Point><coordinates>-71.056113,42.367581,0.0</coordinates></Point>"
,708802,Entire home/apt,200,22200,15,"<Point><coordinates>-71.062805,42.37755,0.0</coordinates></Point>"
,766700,Entire home/apt,188,21620,16,"<Point><coordinates>-71.055369,42.366393,0.0</coordinates></Point>"
,43460,Entire home/apt,171,20862,17,"<Point><coordinates>-71.080131,42.319914,0.0</coordinates></Point>"
,916123,Entire home/apt,188,20680,18,"<Point><coordinates>-71.05736,42.367223,0.0</coordinates></Point>"
,322593,Entire home/apt,240,19920,19,"<Point><coordinates>-71.076802,42.343488,0.0</coordinates></Point>"
,1670635,Entire home/apt,177,19470,20,"<Point><coordinates>-71.085752,42.38339,0.0</coordinates></Point>"
,29185,Entire home/apt,211,19201,21,"<Point><coordinates>-71.105525,42.368721,0.0</coordinates></Point>"
,57721,Private room,102,18870,22,"<Point><coordinates>-71.085026,42.369804,0.0</coordinates></Point>"
,456429,Entire home/apt,257,18761,23,"<Point><coordinates>-71.125963,42.394389,0.0</coordinates></Point>"
,667452,Entire home/apt,113,18306,24,"<Point><coordinates>-71.115246,42.418206,0.0</coordinates></Point>"
,44205,Entire home/apt,268,18224,25,"<Point><coordinates>-71.066769,42.376551,0.0</coordinates></Point>"
,66288,Entire home/apt,67,17487,26,"<Point><coordinates>-71.106742,42.332152,0.0</coordinates></Point>"
,682093,Private room,97,17460,27,"<Point><coordinates>-70.990249,42.381381,0.0</coordinates></Point>"
,830239,Entire home/apt,177,17169,28,"<Point><coordinates>-71.04537,42.409093,0.0</coordinates></Point>"
,124998,Private room,114,16644,29,"<Point><coordinates>-71.106704,42.372745,0.0</coordinates></Point>"
,1499798,Private room,194,16490,30,"<Point><coordinates>-71.077754,42.338535,0.0</coordinates></Point>"
,187840,Entire home/apt,171,16245,31,"<Point><coordinates>-70.971958,42.386165,0.0</coordinates></Point>"
,830300,Entire home/apt,177,15753,32,"<Point><coordinates>-71.045991,42.40943,0.0</coordinates></Point>"
,482711,Entire home/apt,228,15732,33,"<Point><coordinates>-71.088199,42.344422,0.0</coordinates></Point>"
,1066808,Entire home/apt,399,15561,34,"<Point><coordinates>-71.111038,42.38236,0.0</coordinates></Point>"
,22354,Private room,126,15498,35,"<Point><coordinates>-71.074857,42.344957,0.0</coordinates></Point>"
,1130279,Entire home/apt,377,15457,36,"<Point><coordinates>-71.050457,42.365871,0.0</coordinates></Point>"
,10638,Private room,56,15456,37,"<Point><coordinates>-71.09451,42.380951,0.0</coordinates></Point>"
,613007,Entire home/apt,204,15300,38,"<Point><coordinates>-71.037373,42.4089,0.0</coordinates></Point>"
,737529,Entire home/apt,211,15192,39,"<Point><coordinates>-71.102166,42.370555,0.0</coordinates></Point>"
,336788,Entire home/apt,285,15105,40,"<Point><coordinates>-71.080206,42.338259,0.0</coordinates></Point>"
,743211,Entire home/apt,570,14820,41,"<Point><coordinates>-71.112597,42.305813,0.0</coordinates></Point>"
,298005,Entire home/apt,205,14760,42,"<Point><coordinates>-71.107122,42.395605,0.0</coordinates></Point>"
,542914,Private room,114,14592,43,"<Point><coordinates>-71.131455,42.394438,0.0</coordinates></Point>"
,474066,Entire home/apt,228,14592,44,"<Point><coordinates>-71.079148,42.334213,0.0</coordinates></Point>"
,314465,Entire home/apt,685,14385,45,"<Point><coordinates>-71.10556,42.35965,0.0</coordinates></Point>"
,915272,Entire home/apt,183,13908,46,"<Point><coordinates>-71.068146,42.358431,0.0</coordinates></Point>"
,163941,Entire home/apt,228,13908,47,"<Point><coordinates>-71.095149,42.329804,0.0</coordinates></Point>"
,326170,Private room,126,13860,48,"<Point><coordinates>-71.11403,42.382466,0.0</coordinates></Point>"
,318050,Private room,110,13860,49,"<Point><coordinates>-71.078534,42.339796,0.0</coordinates></Point>"
,619142,Entire home/apt,200,13600,50,"<Point><coordinates>-71.063433,42.378079,0.0</coordinates></Point>"
,1501316,Entire home/apt,388,13580,51,"<Point><coordinates>-71.113083,42.34933,0.0</coordinates></Point>"
,40673,Entire home/apt,120,13560,52,"<Point><coordinates>-71.190317,42.357899,0.0</coordinates></Point>"
,2225400,Entire home/apt,793,13481,53,"<Point><coordinates>-71.177509,42.334082,0.0</coordinates></Point>"
,715532,Entire home/apt,228,13452,54,"<Point><coordinates>-71.132022,42.394197,0.0</coordinates></Point>"
,459074,Private room,113,13334,55,"<Point><coordinates>-71.104349,42.362907,0.0</coordinates></Point>"
,38221,Private room,80,13040,56,"<Point><coordinates>-71.093034,42.438084,0.0</coordinates></Point>"
,23602,Private room,103,12978,57,"<Point><coordinates>-71.107691,42.385031,0.0</coordinates></Point>"
,1317659,Entire home/apt,257,12850,58,"<Point><coordinates>-71.094889,42.375464,0.0</coordinates></Point>"
,1497879,Entire home/apt,120,12720,59,"<Point><coordinates>-71.036151,42.366885,0.0</coordinates></Point>"
,917818,Entire home/apt,171,12654,60,"<Point><coordinates>-71.100985,42.366457,0.0</coordinates></Point>"
,7903,Private room,86,12212,61,"<Point><coordinates>-71.093183,42.388998,0.0</coordinates></Point>"
,625012,Private room,141,12126,62,"<Point><coordinates>-71.075675,42.352999,0.0</coordinates></Point>"
,451872,Private room,108,12096,63,"<Point><coordinates>-71.055443,42.339559,0.0</coordinates></Point>"
,23619,Entire home/apt,183,12078,64,"<Point><coordinates>-71.06327,42.35846,0.0</coordinates></Point>"
,1141088,Entire home/apt,177,12036,65,"<Point><coordinates>-71.09555,42.366675,0.0</coordinates></Point>"
,802688,Private room,200,12000,66,"<Point><coordinates>-71.038575,42.332763,0.0</coordinates></Point>"
,536865,Entire home/apt,126,11970,67,"<Point><coordinates>-71.06815,42.310864,0.0</coordinates></Point>"
,45987,Entire home/apt,171,11970,68,"<Point><coordinates>-71.061177,42.374043,0.0</coordinates></Point>"
,24063,Private room,126,11970,69,"<Point><coordinates>-71.131543,42.376022,0.0</coordinates></Point>"
,554720,Entire home/apt,228,11856,70,"<Point><coordinates>-71.114154,42.318569,0.0</coordinates></Point>"
,1272390,Entire home/apt,171,11628,71,"<Point><coordinates>-71.150693,42.394362,0.0</coordinates></Point>"
,648991,Entire home/apt,148,11544,72,"<Point><coordinates>-71.055164,42.342527,0.0</coordinates></Point>"
,285356,Private room,52,11388,73,"<Point><coordinates>-71.087549,42.383141,0.0</coordinates></Point>"
,251657,Private room,52,11336,74,"<Point><coordinates>-71.088479,42.381345,0.0</coordinates></Point>"
,1615033,Entire home/apt,154,11242,75,"<Point><coordinates>-71.055729,42.36796,0.0</coordinates></Point>"
,182135,Private room,80,11200,76,"<Point><coordinates>-71.207835,42.316424,0.0</coordinates></Point>"
,995302,Private room,143,11154,77,"<Point><coordinates>-71.071643,42.381389,0.0</coordinates></Point>"
,958568,Entire home/apt,285,11115,78,"<Point><coordinates>-71.122981,42.375312,0.0</coordinates></Point>"
,256435,Private room,108,11016,79,"<Point><coordinates>-71.107794,42.332229,0.0</coordinates></Point>"
,13589,Entire home/apt,515,10815,80,"<Point><coordinates>-71.072751,42.355804,0.0</coordinates></Point>"
,671487,Entire home/apt,628,10676,81,"<Point><coordinates>-71.124062,42.395527,0.0</coordinates></Point>"
,1225831,Entire home/apt,111,10656,82,"<Point><coordinates>-71.098449,42.364583,0.0</coordinates></Point>"
,31796,Private room,63,10521,83,"<Point><coordinates>-71.060476,42.299773,0.0</coordinates></Point>"
,47521,Private room,63,10458,84,"<Point><coordinates>-71.05924,42.29772,0.0</coordinates></Point>"
,891661,Entire home/apt,143,10439,85,"<Point><coordinates>-71.053626,42.368531,0.0</coordinates></Point>"
,868975,Entire home/apt,171,10431,86,"<Point><coordinates>-71.106076,42.365949,0.0</coordinates></Point>"
,179296,Private room,63,10332,87,"<Point><coordinates>-70.973397,42.385602,0.0</coordinates></Point>"
,20000,Private room,80,10240,88,"<Point><coordinates>-71.001715,42.382608,0.0</coordinates></Point>"
,709315,Private room,126,10080,89,"<Point><coordinates>-71.143126,42.394234,0.0</coordinates></Point>"
,1227322,Entire home/apt,222,9990,90,"<Point><coordinates>-71.062379,42.373346,0.0</coordinates></Point>"
,151158,Entire home/apt,177,9912,91,"<Point><coordinates>-71.100494,42.381678,0.0</coordinates></Point>"
,315982,Entire home/apt,179,9845,92,"<Point><coordinates>-71.05997,42.29929,0.0</coordinates></Point>"
,231115,Entire home/apt,314,9734,93,"<Point><coordinates>-71.106916,42.366476,0.0</coordinates></Point>"
